Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /admin/enrollments,30,0,220,235.78899333345666,202.19540000107372,365.65970000083325,5794.0,0.5149104319050049,0.0,220,220,230,250,320,330,370,370,370,370,370
GET,GET /admin/ratings,18,0,210,226.5094500006752,202.19290000386536,325.3649999969639,430.0,0.3089462591430029,0.0,210,220,220,230,310,330,330,330,330,330,330
GET,GET /auth/me,22,0,210,211.76859090899762,195.18589999643154,304.6634999991511,201.1818181818182,0.37760098339700354,0.0,210,210,220,220,220,220,300,300,300,300,300
GET,GET /courses (catalog),174,0,210,256.33258045984377,197.32759999897098,537.9569999931846,1564.0,2.986480505049028,0.0,210,220,240,310,410,490,510,520,540,540,540
GET,GET /courses/manage,37,0,210,214.46461621589324,199.28709999658167,322.3409999991418,1564.0,0.635056199349506,0.0,210,210,220,220,230,240,320,320,320,320,320
GET,GET /courses/{id},88,0,210,220.3642556821499,195.31749999441672,341.6884999969625,3480.0,1.5104039335880142,0.0,210,220,220,230,230,310,320,340,340,340,340
GET,GET /courses/{id}/curriculum,66,0,220,229.23998939410066,203.2956999973976,359.075300002587,1592.0,1.1328029501910106,0.0,220,230,230,240,250,260,360,360,360,360,360
GET,GET /courses/{id}/enrollment,45,0,210,222.8874288892257,196.9461000044248,322.6550999970641,20.0,0.7723656478575073,0.0,210,220,220,230,250,310,320,320,320,320,320
GET,GET /courses/{id}/manage,19,0,210,218.4561473695794,202.72359999944456,342.40390000195475,3297.0,0.3261099402065031,0.0,210,210,220,220,240,340,340,340,340,340,340
GET,GET /courses/{id}/rating,27,0,210,211.48817777726367,197.92230000166455,234.1258000014932,4.0,0.4634193887145044,0.0,210,210,220,220,230,230,230,230,230,230,230
GET,GET /courses/{id}/ratings,21,0,210,217.43165238114585,200.2109000022756,243.46689999947557,328.0,0.3604373023335034,0.0,210,220,230,230,230,240,240,240,240,240,240
GET,GET /courses/{id}/ratings/summary,26,0,210,212.75481923154214,199.4948999999906,300.5803999985801,76.0,0.4462557076510042,0.0,210,210,210,220,230,240,300,300,300,300,300
GET,GET /enrollments/me,51,0,220,223.15806078432954,197.0569000040996,323.37000000552507,1662.0,0.8753477342385082,0.0,220,220,230,230,250,310,310,320,320,320,320
GET,GET /health,15,0,200,207.68666666554054,192.16589999996359,309.04690000170376,76.0,0.2574552159525024,0.0,200,200,210,210,210,310,310,310,310,310,310
GET,GET /instructor/profile,15,0,210,224.15454666722022,197.6820999989286,339.7119000001112,266.0,0.2574552159525024,0.0,210,220,240,240,250,340,340,340,340,340,340
POST,POST /auth/login,22,0,490,542.0712590907483,460.3233000016189,806.0876999952598,557.6818181818181,0.37760098339700354,0.0,490,550,570,590,760,780,810,810,810,810,810
,Aggregated,676,0,210,240.5938186391873,192.16589999996359,806.0876999952598,1630.1449704142012,11.60264839892611,0.0,210,220,230,230,320,430,510,560,810,810,810
