Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /admin/enrollments,9,0,210,218.87471110918946,199.73229999595787,295.21050000039395,5794.0,0.1537313966818441,0.0,210,210,220,230,300,300,300,300,300,300,300
GET,GET /admin/ratings,7,0,210,219.57862857172066,200.95820000278763,303.9658999987296,430.0,0.11956886408587875,0.0,210,210,210,210,300,300,300,300,300,300,300
GET,GET /auth/me,7,0,210,219.4252857131817,198.14999999653082,309.5601000022725,201.14285714285714,0.11956886408587875,0.0,210,210,210,210,310,310,310,310,310,310,310
GET,GET /courses (catalog),63,0,200,264.1653603178196,196.43820000055712,559.6844000028796,1564.0,1.0761197767729087,0.0,200,210,310,330,500,530,540,560,560,560,560
GET,GET /courses/manage,14,0,210,215.73062142851995,196.34729999961564,307.6084999993327,1564.0,0.2391377281717575,0.0,210,210,210,220,220,310,310,310,310,310,310
GET,GET /courses/{id},35,0,210,211.8559657136627,196.20399999985239,329.69730000331765,3480.0,0.5978443204293937,0.0,210,210,210,210,230,230,330,330,330,330,330
GET,GET /courses/{id}/curriculum,16,0,220,253.05276249946473,207.03049999428913,645.6953000015346,1592.0,0.27330026076772285,0.0,220,220,230,230,320,650,650,650,650,650,650
GET,GET /courses/{id}/enrollment,6,0,210,298.2478499992188,202.4643999975524,650.0844000038342,20.0,0.10248759778789607,0.0,210,210,320,320,650,650,650,650,650,650,650
GET,GET /courses/{id}/manage,6,0,201.1560000028112,206.73136666664504,201.1560000028112,218.69259999948554,3297.0,0.10248759778789607,0.0,210,210,210,210,220,220,220,220,220,220,220
GET,GET /courses/{id}/rating,17,0,200,204.74325294216055,196.428700000979,220.97060000669444,4.0,0.2903815270657055,0.0,200,210,210,210,220,220,220,220,220,220,220
GET,GET /courses/{id}/ratings,9,0,210,208.0843666667028,201.50489999650745,219.90050000022165,328.0,0.1537313966818441,0.0,210,210,210,210,220,220,220,220,220,220,220
GET,GET /courses/{id}/ratings/summary,9,0,200,215.7934666667845,196.29449999774806,295.9049999990384,76.0,0.1537313966818441,0.0,200,200,210,220,300,300,300,300,300,300,300
GET,GET /enrollments/me,21,0,210,223.07240476289908,198.29010000103153,322.6367000024766,1662.0,0.35870659225763624,0.0,210,220,220,230,230,320,320,320,320,320,320
GET,GET /health,5,0,200,204.70009999989998,196.56450000184122,226.9899999955669,76.0,0.08540633148991339,0.0,200,200,200,230,230,230,230,230,230,230,230
GET,GET /instructor/profile,5,0,210,208.95438000006834,199.82180000079097,227.27100000338396,266.0,0.08540633148991339,0.0,210,210,210,230,230,230,230,230,230,230,230
POST,POST /auth/login,7,0,480,506.3367428561573,445.97999999677995,575.5128000018885,557.7142857142857,0.11956886408587875,0.0,480,550,570,570,580,580,580,580,580,580,580
,Aggregated,236,0,210,240.64368813557493,196.20399999985239,650.0844000038342,1645.7033898305085,4.031178846323912,0.0,210,210,220,220,320,500,560,580,650,650,650
