Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /admin/enrollments,23,0,220,229.93692608724814,201.92020000104094,327.7742999998736,5794.0,0.39466430539276953,0.0,220,230,240,240,260,300,330,330,330,330,330
GET,GET /admin/ratings,39,0,210,234.89110769300262,202.4202000029618,531.2937999988208,430.0,0.6692133874051309,0.0,210,220,220,230,280,460,530,530,530,530,530
GET,GET /auth/me,42,0,210,214.00609761864567,198.3392999973148,343.3809999987716,202.71428571428572,0.7206913402824487,0.0,210,210,220,220,230,250,340,340,340,340,340
GET,GET /courses (catalog),302,0,210,259.0857910596145,193.74840000091353,572.5236999933259,1564.0,5.182113922983322,0.0,210,220,240,310,440,500,530,550,570,570,570
GET,GET /courses/manage,61,0,210,218.93041967197234,199.60300000093412,383.8943000009749,1564.0,1.0467183751721278,0.0,210,220,220,220,240,250,310,380,380,380,380
GET,GET /courses/{id},155,0,210,228.93973741982688,197.03470000240486,958.8866000049165,3480.0,2.6596942319947514,0.0,210,220,230,240,260,310,330,390,960,960,960
GET,GET /courses/{id}/curriculum,88,0,220,237.33716590951107,203.4946999992826,398.1687999985297,1592.0,1.510019951067988,0.0,220,230,240,240,300,330,390,400,400,400,400
GET,GET /courses/{id}/enrollment,56,0,210,216.05182142892383,197.16779999725986,281.52630000113277,20.0,0.960921787043265,0.0,210,220,220,220,250,260,260,280,280,280,280
GET,GET /courses/{id}/manage,26,0,210,222.95773461463307,201.45620000403142,327.9276999965077,3297.0,0.4461422582700873,0.0,210,220,220,230,270,270,330,330,330,330,330
GET,GET /courses/{id}/rating,56,0,210,221.60300178542715,200.68970000284025,323.28509999933885,4.0,0.960921787043265,0.0,220,220,230,230,240,250,320,320,320,320,320
GET,GET /courses/{id}/ratings,27,0,210,221.90472592639574,199.40990000031888,315.74800000089454,328.0,0.4633015758958599,0.0,210,220,230,230,250,260,320,320,320,320,320
GET,GET /courses/{id}/ratings/summary,45,0,210,236.21623777758538,195.88920000387589,488.51509999803966,76.0,0.7721692931597665,0.0,210,220,230,240,310,390,490,490,490,490,490
GET,GET /enrollments/me,91,0,220,225.3872274726106,200.37419999425765,401.55029999732506,1662.0,1.5614979039453056,0.0,220,230,230,240,240,280,330,400,400,400,400
GET,GET /health,18,0,200,207.70778888820334,194.3429999955697,239.36770000000251,76.0,0.3088677172639066,0.0,200,210,210,220,240,240,240,240,240,240,240
GET,GET /instructor/profile,22,0,210,212.3708818180603,196.85190000018338,223.5008999996353,266.0,0.377504987766997,0.0,210,220,220,220,220,220,220,220,220,220,220
POST,POST /auth/login,37,0,590,628.0254810807418,446.7039999944973,1215.6462999992073,557.6756756756756,0.6348947521535858,0.0,590,630,670,700,910,1100,1200,1200,1200,1200,1200
,Aggregated,1088,0,210,248.61430386037603,193.74840000091353,1215.6462999992073,1547.9889705882354,18.669337576840576,0.0,210,220,230,240,330,470,580,670,1100,1200,1200
