Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786591546,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786591547,5,,Aggregated,0.000000,0.000000,510,520,530,530,540,540,540,540,540,540,540,7,0,510,479.16434285538605,305.26289999397704,540.9212999948068,1207.5714285714287
1786591549,10,,Aggregated,0.000000,0.000000,490,500,520,530,560,580,590,590,590,590,590,24,0,480,431.44587083315855,204.605700004322,588.7813000008464,1340.5833333333333
1786591550,20,,Aggregated,3.500000,0.000000,450,500,510,530,550,580,590,590,590,590,590,35,0,450,417.3792657143037,204.605700004322,588.7813000008464,1353.2571428571428
1786591551,25,,Aggregated,3.500000,0.000000,450,480,500,510,550,580,580,590,590,590,590,54,0,450,397.1316370368219,195.49800000095274,588.7813000008464,1362.9074074074074
1786591552,30,,Aggregated,8.500000,0.000000,400,450,490,500,550,580,590,610,610,610,610,71,0,400,371.61104647866136,195.49800000095274,606.1011999991024,1515.056338028169
1786591553,35,,Aggregated,8.500000,0.000000,410,450,480,490,550,580,630,630,630,630,630,92,0,400,366.1951445651737,195.49800000095274,634.795000005397,1454.608695652174
1786591554,40,,Aggregated,11.666667,0.000000,390,450,470,490,530,580,610,630,630,630,630,114,0,390,355.1074289474248,195.49800000095274,634.795000005397,1471.7368421052631
1786591555,45,,Aggregated,13.142857,0.000000,330,440,460,480,540,590,760,770,780,780,780,137,0,330,354.4339576641983,195.49800000095274,775.3155000027618,1458.1313868613138
1786591556,50,,Aggregated,13.142857,0.000000,320,440,470,490,550,630,700,770,780,780,780,162,0,310,356.97140308642435,195.49800000095274,775.3155000027618,1510.70987654321
1786591557,50,,Aggregated,14.125000,0.000000,310,440,470,500,570,670,910,1100,1200,1200,1200,189,0,310,367.3146804231456,195.49800000095274,1215.6462999992073,1499.116402116402
1786591558,50,,Aggregated,16.200000,0.000000,300,420,470,490,570,660,780,980,1200,1200,1200,212,0,300,359.04069716961425,195.49800000095274,1215.6462999992073,1483.0849056603774
1786591559,50,,Aggregated,18.900000,0.000000,240,410,460,490,570,650,780,980,1200,1200,1200,231,0,240,346.82573939380546,195.49800000095274,1215.6462999992073,1479.3419913419914
1786591560,50,,Aggregated,20.400000,0.000000,230,400,450,480,560,650,780,980,1200,1200,1200,251,0,230,341.03050677283653,195.49800000095274,1215.6462999992073,1526.4581673306773
1786591561,50,,Aggregated,20.600000,0.000000,230,390,450,470,560,630,780,980,1200,1200,1200,270,0,230,332.95018296291045,195.49800000095274,1215.6462999992073,1519.4555555555555
1786591562,50,,Aggregated,20.600000,0.000000,220,330,430,460,550,630,780,980,1200,1200,1200,291,0,220,323.8843900343676,195.49800000095274,1215.6462999992073,1524.8969072164948
1786591563,50,,Aggregated,21.400000,0.000000,230,310,420,450,540,630,770,960,1200,1200,1200,312,0,220,317.752166987166,195.49800000095274,1215.6462999992073,1518.451923076923
1786591564,50,,Aggregated,22.100000,0.000000,230,300,410,450,530,630,770,960,1200,1200,1200,326,0,220,314.1306003067229,195.49800000095274,1215.6462999992073,1532.355828220859
1786591565,50,,Aggregated,21.700000,0.000000,230,260,390,450,520,610,770,960,1200,1200,1200,349,0,230,308.9278106017133,195.49800000095274,1215.6462999992073,1548.6848137535817
1786591566,50,,Aggregated,21.200000,0.000000,230,260,390,430,510,610,760,960,1200,1200,1200,369,0,230,305.83737642279254,195.49800000095274,1215.6462999992073,1553.9512195121952
1786591567,50,,Aggregated,21.000000,0.000000,230,260,360,420,510,590,760,960,1200,1200,1200,388,0,230,302.19748298975566,195.49800000095274,1215.6462999992073,1546.4226804123712
1786591568,50,,Aggregated,20.600000,0.000000,230,250,330,410,510,590,760,960,1200,1200,1200,400,0,230,299.7561787500672,195.49800000095274,1215.6462999992073,1539.125
1786591569,50,,Aggregated,19.200000,0.000000,220,250,310,400,500,580,700,910,1200,1200,1200,419,0,220,295.9195821003395,195.49800000095274,1215.6462999992073,1536.0787589498807
1786591570,50,,Aggregated,18.800000,0.000000,220,240,310,390,490,570,700,910,1200,1200,1200,442,0,220,292.66497579196334,195.49800000095274,1215.6462999992073,1555.2307692307693
1786591571,50,,Aggregated,18.700000,0.000000,220,240,300,390,490,570,690,910,1200,1200,1200,455,0,220,290.2630760440453,195.49800000095274,1215.6462999992073,1541.3098901098901
1786591572,50,,Aggregated,18.900000,0.000000,220,240,290,360,490,570,690,910,1200,1200,1200,478,0,220,286.5233468620169,195.49800000095274,1215.6462999992073,1543.8284518828452
1786591573,50,,Aggregated,18.500000,0.000000,220,240,270,330,480,570,690,910,1200,1200,1200,494,0,220,284.06221923083825,194.3429999955697,1215.6462999992073,1523.0587044534414
1786591574,50,,Aggregated,18.400000,0.000000,220,240,270,330,480,560,670,780,1200,1200,1200,510,0,220,282.2945419608503,194.3429999955697,1215.6462999992073,1515.2098039215687
1786591575,50,,Aggregated,18.300000,0.000000,220,240,270,330,480,560,670,780,1200,1200,1200,530,0,220,281.174836792535,194.3429999955697,1215.6462999992073,1513.7264150943397
1786591576,50,,Aggregated,18.200000,0.000000,220,240,260,320,470,550,670,780,1200,1200,1200,548,0,220,279.4843795621018,194.3429999955697,1215.6462999992073,1514.552919708029
1786591577,50,,Aggregated,17.800000,0.000000,220,230,260,320,470,550,660,780,1200,1200,1200,568,0,220,276.9687508803849,194.3429999955697,1215.6462999992073,1514.4014084507041
1786591578,50,,Aggregated,17.700000,0.000000,220,230,260,310,460,550,660,780,1200,1200,1200,587,0,220,274.8068882454087,194.3429999955697,1215.6462999992073,1518.8977853492333
1786591579,50,,Aggregated,18.600000,0.000000,220,230,250,310,450,540,650,770,1200,1200,1200,604,0,220,272.974644536577,194.3429999955697,1215.6462999992073,1521.385761589404
1786591580,50,,Aggregated,18.400000,0.000000,220,230,250,300,450,540,650,770,1200,1200,1200,624,0,220,271.0749415065878,194.3429999955697,1215.6462999992073,1511.7195512820513
1786591581,50,,Aggregated,18.500000,0.000000,220,230,250,290,450,530,650,770,1200,1200,1200,641,0,220,269.3707519502254,194.3429999955697,1215.6462999992073,1506.4695787831513
1786591582,50,,Aggregated,17.900000,0.000000,220,230,240,280,450,530,630,770,1200,1200,1200,657,0,220,267.92650076120486,194.3429999955697,1215.6462999992073,1534.3287671232877
1786591583,50,,Aggregated,18.400000,0.000000,220,230,240,270,450,530,630,770,1200,1200,1200,676,0,220,266.5727551777104,194.3429999955697,1215.6462999992073,1540.6597633136096
1786591584,50,,Aggregated,18.100000,0.000000,220,230,240,260,450,520,630,770,1200,1200,1200,696,0,220,265.4847050288972,194.3429999955697,1215.6462999992073,1543.2816091954023
1786591585,50,,Aggregated,18.100000,0.000000,220,230,240,260,430,520,630,760,1200,1200,1200,713,0,220,264.58518849944375,194.3429999955697,1215.6462999992073,1538.3029453015429
1786591586,50,,Aggregated,18.100000,0.000000,220,230,240,260,430,510,630,760,1200,1200,1200,733,0,220,263.02817053220963,194.3429999955697,1215.6462999992073,1541.6452933151431
1786591587,50,,Aggregated,18.600000,0.000000,220,230,240,260,420,510,630,760,1200,1200,1200,751,0,220,261.90948402144033,194.3429999955697,1215.6462999992073,1543.1531291611186
